23:59 Edwiener  : 10695
00:02 Edwiener  : dad
00:02 Edwiener  : ...
00:02 Edwiener  : yeah
00:02 Edwiener  : i'll call u dad if you call me sport
00:03 Edwiener  : ok
00:03 Edwiener  : gimme a min
00:03 Edwiener  : dad in kitchen
00:05 Edwiener  : tttt
00:06 Edwiener  : ok
00:09 Edwiener  : wb
00:09 Bl4zeBoy  : hello yall
00:09 Edwiener  : Heyo!~
00:10 Bl4zeBoy  : im quite offended that verzion doubled the price of books
00:10 moezes    : yep
00:12 Bl4zeBoy  : but i guess he's in charge
00:12 Edwiener  : Well... he's going for extreme economy
00:12 Edwiener  : so it's kind of understandable
00:13 Bl4zeBoy  : but the fact he said emeralds are EASY to get is very underwhelming
00:16 Bl4zeBoy  : can someone please sleep?
00:17 Bl4zeBoy  : ty
00:17 Edwiener  : Bbye!~
21:31 Edwiener  : what do you mean
21:31 moezes    : weed
21:31 moezes    : high
21:31 Edwiener  : what do you want from me
