03:07 Zonelesi  : Welcome
03:07 Vivzie    : Thank you.
08:24 Zonelesi  : wb
08:24 verzion   : ty
10:13 Zonelesi  : wb
10:13 vanism    : ty :)
10:15 vanism    : is it laggy for you?
10:15 Zonelesi  : Not really, is it laggy in your end?
10:15 vanism    : guess it's still loading up stuff. i did just join
10:17 vanism    : fine now
10:17 Zonelesi  : That's good :3
16:32 Zonelesi  : Welcome back
16:32 verzion   : thank you :)
20:22 Zonelesi  : Welcome back
20:22 verzion   : ty
20:23 verzion   : I've added permission shop
20:23 Zonelesi  : Permission shop?
20:23 verzion   : check /pshop
20:23 Zonelesi  : Oh
20:23 verzion   : only one thing there now, but I'll be adding more
20:23 Zonelesi  : That's a great start though!
20:23 verzion   : something to work towards
20:23 verzion   : yep!
20:24 verzion   : I've also got a discord server
20:24 Zonelesi  : May I join?
20:25 verzion   : yep let me find the invite link
20:25 verzion   : https://discord.gg/ZqmpgmRs
20:27 Zonelesi  : Thank you
20:27 verzion   : np
23:33 vanism    : wb
23:33 Zonelesi  : Oh, thank you!
